review,sentiment
"RT @delucca: Primeiro a gente tira a Dilma, depois a gente tira o aumento real do salário mínimo. https://t.co/fPpYEQS7xR",negative
"Se Dilma estivesse no poder salário mínimo iria para R$968, com Temer foi a R$937 https://t.co/g502xEPtEa",negative
"RT @MARLUCIO_Geo: @lcportinho @ChartresClaudia @eurobo9  Dois momentos, duas imagens que nos fazem acreditar que ficamos do lado certo, com…",positive
RT @Ricamconsult: Queda de Dilma e sua turma foi só o início do expurgo político. Que caiam todos q tiverem q cair. #retrospectiva2016 http…,positive
"RT @delucca: Primeiro a gente tira a Dilma, depois a gente tira o aumento real do salário mínimo. https://t.co/fPpYEQS7xR",negative
Gostei de um vídeo @YouTube de @redebrasilnaweb https://t.co/IefcLlNWVy LULA BÊBADO SOLTA A LINGUA E ENTREGA A DILMA E DIZ QUE VAI,positive
"RT @AndreaRBMota: O discurso de ódio, instalado por AÉCIO e ALOYSIO NUNES (""quero SANGRAR a Dilma""): PRODUZIRAM as tragédias de hoje!
https…",negative
"@paulocz08 @beregmaciel @edmilsonpapo10 
Vocês elegeram ele e, pior ainda, reelegeram a Dilma.",negative
RT @EartSoft: LULA e DILMA Podem ser presos pelo FBI a Qualquer Momento por causa de Nova Delação da Odebrecht https://t.co/Utry5AIyw2,neutral
RT @Ricamconsult: Queda de Dilma e sua turma foi só o início do expurgo político. Que caiam todos q tiverem q cair. #retrospectiva2016 http…,positive
"RT @turquim5: Se Dilma estivesse no poder salário mínimo iria para R$968, com Temer foi R$937 https://t.co/aJ1EkFANs7 @VerdadeSManip",negative
RT @caukrambauer: voltaaaa dilma,positive
Gostei de um vídeo @YouTube de @redebrasilnaweb https://t.co/9gfl10lcjm LULA BÊBADO SOLTA A LINGUA E ENTREGA A DILMA E DIZ QUE VAI,positive
RT @blogdojefferson: Decreto de Dilma diz que gastos dela com cartão ficarão sob sigilo até término do mandato. O mandato acabou. Queremos…,negative
"RT @VIOMUNDO: Salário mínimo: Se Dilma tivesse ficado, subiria agora para R$ 968; com Temer, ficou em R$937 https://t.co/36N79cf7N7 via @vi…",negative
RT @Ricamconsult: Queda de Dilma e sua turma foi só o início do expurgo político. Que caiam todos q tiverem q cair. #retrospectiva2016 http…,positive
RT @blogdojefferson: Está na hora de quebrar sigilo dos gastos milionários que Dilma fez com o cartão corporativo. O povo tem o direito de…,positive
"RT @danielarossi___: Pra 2017 : “Não vamos colocar meta. Vamos deixar a meta aberta, mas quando atingirmos a meta, vamos dobrar a meta”
- D…",neutral
"PaiBoninho nicolepuzzi as pessoas politizam tudo, inclusive o matador que colocou culpa até na Dilma 😐😒",positive
RT @Ricamconsult: Queda de Dilma e sua turma foi só o início do expurgo político. Que caiam todos q tiverem q cair. #retrospectiva2016 http…,positive
RT @Ricamconsult: Queda de Dilma e sua turma foi só o início do expurgo político. Que caiam todos q tiverem q cair. #retrospectiva2016 http…,positive
"RT @implicante_org: Obrigado, Lula e Dilma! Brasil ficou em 133º (de 139) na qualidade de matemática e ciências #MaisLidas2016
https://t.co…",negative
Ué? Mas não era só tirar a Dilma??? https://t.co/mJfjt7eR3G,negative
"@PaiBoninho @nicolepuzzi as pessoas politizam tudo, inclusive o matador que colocou culpa até na Dilma 😐😒",positive
"RT @turquim5: Se Dilma estivesse no poder salário mínimo iria para R$968, com Temer foi R$937 https://t.co/aJ1EkFANs7 @VerdadeSManip",negative
"RT @brasil247: OAB, que apoiou golpe contra Dilma, está a um passo de aderir ao Fora Temer https://t.co/5luJVu7myK via @brasil247",neutral
RT @Ricamconsult: Queda de Dilma e sua turma foi só o início do expurgo político. Que caiam todos q tiverem q cair. #retrospectiva2016 http…,positive
"RT @Cidadaodopovo: DILMA 4,5% desemprego, motivo de desespero crise total, fim do mundo. TEMER 12%, motivo de otimismo, esperança, confianç…",positive
RT @Ricamconsult: Queda de Dilma e sua turma foi só o início do expurgo político. Que caiam todos q tiverem q cair. #retrospectiva2016 http…,positive
RT @Ricamconsult: Queda de Dilma e sua turma foi só o início do expurgo político. Que caiam todos q tiverem q cair. #retrospectiva2016 http…,positive
"RT @edmilsonpapo10: 2017 começa sem Esquenta, meninas do Jô, Haddad, Obama, Dilma. Lula será preso e Fidel já está no inferno...

Melhor an…",neutral
"RT @implicante_org: Obrigado, Lula e Dilma! Brasil ficou em 133º (de 139) na qualidade de matemática e ciências #MaisLidas2016
https://t.co…",negative
"RT @MARLUCIO_Geo: @lcportinho @ChartresClaudia @eurobo9  Dois momentos, duas imagens que nos fazem acreditar que ficamos do lado certo, com…",positive
RT @Ricamconsult: Queda de Dilma e sua turma foi só o início do expurgo político. Que caiam todos q tiverem q cair. #retrospectiva2016 http…,positive
@marquim37 @CorretorDino @PastorMalafaia A DILMA É UMA LADRA CORRUPTA...O LULA É PIOR QUE ELA E O MALAFAIA TAMBÉM...TUDO BANDIDO...,negative
Pouco que restou da arrogância de Dilma acaba em 2017. Petista cai responder por crimes graves https://t.co/zGOKZeKjf2 via @,neutral
"@anterogreco mas espero ver o senhor tbm falando da Dilma, Lula e Haddad entre outros independentemente de partido!",neutral
