review,sentiment
"RT @ZAMENZA: Nível social: ""Eu crio intimidade rápido!"" #RockStory",neutral
Gui todo orgulhoso do Zac ❤ #RockStory ChiaraÉGuilia,positive
"malhação inteira nessa novela 
#RockStory",positive
RT @shinedillgayoso: BOAA NICOLAU #RockStory ChiaraÉGuilia,positive
"A banda já se unindo pra ajudar o zac, já estão em ""Um por todos e todas por um"" adorooooo #RockStory ChiaraÉGuilia",neutral
#RockStory o cara bateu no zac e no nicolau ME SEGURA ME SEGURA,negative
TA MALUCO SEU FILHA DA PUTA NAO BATE NO NICOLAU NAO #RockStory,negative
Agora o Zac tem amigos pra defender ❤❤❤ #RockStory,positive
Gzuis que barraco #RockStory,positive
"RT @rafavittibr: Léo é caidinho pela Diana, tá enfeitiçado. #RockStory",positive
RT @onedreammond: que pisão em quem insiste classificar a diana como vilã #RockStory https://t.co/DiRcyXFZkC,positive
"#RockStory
FDP desse marginal, droga😠😡",positive
Agora a 4.4 é definitivamente uma banda. S2 ChiaraÉGuilia #RockStory,negative
O JF com uma vassoura hahahahah #RockStory,positive
Nicolau é meu herói. Quero um nicolau na minha vida #rockstory,positive
"RT @vittitocar: NAO BATE NO NICOLAU
#RockStory",negative
"RT @vittitocar: O Rafael não deve comer qnd vai gravar ne pra encher a pança na gravação
#RockStory",negative
BOAA NICOLAU #RockStory ChiaraÉGuilia,positive
se ferrou haha #RockStory,positive
eita porra #RockStory,positive
Já to de saco cheio de ver o Zac fazer porra nenhuma #RockStory,negative
JF fez alguma coisa que preste finalmente #RockStory ChiaraÉGuilia,negative
"Prefiro ver Diana sozinha do que ao lado desse moleque. Aliás, felicidade de mulher não está condicionada a presença masculina. #RockStory",negative
Refizeram malhação nessa novela? #RockStory,positive
Brigaaaaa #rockStory,positive
"NAO BATE NO NICOLAU
#RockStory",negative
Já tá chato esse babaca batendo no Zac  #RockStory,neutral
Que paulada KKKKKKKKKKKKKKK #rockstory,positive
Vaaaiiii nicolauuu bate nesse fdp #RockStory,positive
RT @inovelasi: Queria que esse plano da Néia desse certo #RockStory,positive
Gui e Julia meu mais novo shipper e apego só espero não ser tombada dessa vez #RockStory,negative
"Mas esse mlk não deixa o Zac em paz 
Pqp
Se atacar o zac eu vou atacar
 #RockStory",positive
NICOLAU REI DESSA NOVELA #RockStory,positive
RT @nandoaraujoo: A sensualizada deu Ruim.... #RockStory https://t.co/bS8DkuZdEJ,negative
a família ajudando o Zac lindoooooooooooooooos #RockStory,positive
O ZAC NÃOOOOO!!!! #RockStory,positive
essa perseguição do pedro com o rodrigo já deu né tinha q ter ficado só na malhação #RockStory,positive
RT @nandoaraujoo: O olhar de quem sabe que é maravilhosa. #RockStory https://t.co/uBPxHzzt1U,positive
PORRA ADOROO #RockStory ChiaraÉGuilia,positive
"Chega desse cara, meu. Porra ja deu #RockStory",negative
Já to o muleque insuportável atrás do zac de novo #rockstory,negative
"RT @LayllaZeferino: Ainda in love com Júlia, Gui e Chiara se abraçando na cama, foi muito linda essa cena, uma fofura sem tamanho. #RockSto…",positive
Ahh não #RockStory ChiaraÉGuilia,negative
Assistindo malhação 2.0 (rockstory),positive
Alguém chega lá pelo amor de Deuuuuuuussssssss #RockStory,neutral
"RT @ZAMENZA: ""Gui Santiago, essa é pra você!!!!!"" (Zac melhor pessoa)  #RockStory",neutral
Os meninos vão ver #RockStory ChiaraÉGuilia,positive
Pedro e Rodrigo em outra vida #RockStory,neutral
Caiu de bicicleta que dá uma olhada.... 😂😂 #RockStory que atriz linda. https://t.co/1Z0KMcHWOY,neutral
"Cada dia que eu vejo rockstory eu me apaixono mais por esse Rafael Vitti, que ser humano maravilhoso 😍",positive
RT @NathDillFC: Por mais cenas assim por favor e de preferência ao som de Me Espera. ChiaraÉGuilia #RockStory https://t.co/0DhHw996Si,negative
"Nível social: ""Eu crio intimidade rápido!"" #RockStory",neutral
RT @NathDillFC: Quero muitas cenas fofas hoje do meu casal. ChiaraÉGuilia #RockStory https://t.co/09uyhzNMo9,neutral
"Coitado do Zac, só apanha #RockStory",negative
RT @gshow: E essa doidinha da Marisa? rs Quem nunca!? =P #RockStory https://t.co/QiNjai8Gpx,negative
RT @MaryRoche16: #RockStory os Casais q se formaram  nessa novela são  caisais q o público ñ  shipa kkkk,positive
"RT @ZAMENZA: ""Que falta de compostura é essa?"" Néia tão boa atriz quanto Ana Beatriz Nogueira. #RockStory",neutral
"O Rafael não deve comer qnd vai gravar ne pra encher a pança na gravação
#RockStory",negative
Esse Jaílson já cansou ChiaraÉGuilia #RockStory,neutral
Léo junto com a Sthefany fica total no espírito de Mesquita. Hahaha! #RockStory,negative
Essa empregada contratada pela Neia tem perfil de atriz das brasileirinhas kkk. #RockStory,positive
"Eu rir com essa cena do Leo ""acho melhor não passar a mão não"" o Rafael vitti tá muito bem sim #RockStory ChiaraÉGuilia",neutral
Será que o Léo vai ser infiel ou vai provar que ama msm a Diana? #RockStory,neutral
RT @swiftwolfies: Leo regis segue comendo de boca aberta #RockStory,positive
"#RockStory essq sthepanie  é ótima.
KKKKKKKKKKKKKK",positive
"""Que falta de compostura é essa?"" Néia tão boa atriz quanto Ana Beatriz Nogueira. #RockStory",neutral
"""Se tu precisar se abrir de novo, quer dizer, desabafar, só me procurar"" #RockStory",negative
"RT @ThallysBAlm: Olha a moral de #RockStory, voltou com o oferecimento na faixa das 19h e ainda por cima da Coca Cola \o/",positive
Queria que esse plano da Néia desse certo #RockStory,positive
Leo eh mto inocente neh #RockStory,positive
"RT @Sobraltaii: Zac e Julia AAAAAAAAAAAA MORRI AQUI, QUE AMOOOOR #RockStory ChiaraÉGuilia",positive
RT @BelovedShip: Montinho triplo de amor!😍💞 #Guilia GuiliaÉChiara #RockStory https://t.co/b0q8hvrrkR,positive
A menina só falta sentar no colo do Léo e ele só fala na Diana. #RockStory,negative
Morta com o Léo e a Stefany #RockStory ChiaraÉGuilia,positive
"RT @LayllaZeferino: Ainda in love com Júlia, Gui e Chiara se abraçando na cama, foi muito linda essa cena, uma fofura sem tamanho. #RockSto…",positive
"Qual foi a sua youtuber feminina favorita de 2016?

 2016? @Kefera @nahcardoso @ninasecrets @TacieleAlcolea #rockstory #malhação",positive
"RT @Teledramaturgia: Vamos de novela boa?
#RockStory https://t.co/d2h0cgHJkd",positive
"""Largou pq tu e mo maneirona faz um rango mo bom"" EU TO BERRANDO BRASIL #RockStory",neutral
RT @LayllaZeferino: Marisa tentou fazer uma dança sensual para o Nicolau e se ferrou. Eu tô morrendo com essa cena. Hahahahaha #RockStory,negative
RT @gshow: E essa doidinha da Marisa? rs Quem nunca!? =P #RockStory https://t.co/QiNjai8Gpx,negative
"RT @LayllaZeferino: Zac dedicando a vitória pra Júlia, tem como não amar esse menino? Que fofo!! #RockStory",negative
"RT @LayllaZeferino: Ainda in love com Júlia, Gui e Chiara se abraçando na cama, foi muito linda essa cena, uma fofura sem tamanho. #RockSto…",positive
RT @LayllaZeferino: Guilia se beijando e curtindo juntinhos o show dos pupilos. #RockStory,positive
"RT @rafavittibr: Léo é caidinho pela Diana, tá enfeitiçado. #RockStory",positive
Essa Stefani na novela rockstory é uma tentação véi,positive
"A empreguete do Léo é gata, mas concorrer com Alinne Moraes é covardia. #RockStory",positive
RT @BelovedShip: Aquele encontro que já mostrou que o amor seria recíproco.💕#RockStory ChiaraÉGuilia https://t.co/DS3PpVRJNw,neutral
"Léo é caidinho pela Diana, tá enfeitiçado. #RockStory",positive
